title,contributor_name,code_link,mentors,organization,technologies,topics,project_details,url
Survey 6,1209973,https://github.com/scorelab/GSoC/blob/master/GSoC-2022/23-1209973-Survey-6.md,"Ravindu De Silva, Erajan, Davidv",SCoRe Lab,"python, linux, c++","security, web","Pv6 is the future of the internet, and this created a necessity for a more scalable survey tool to understand how routing and DNS functions work. Survey 6 is designed based on this need to passively collect IPv6 traffic data for cyber security research. Survey 6 is a geo-distributed grid application with a C&C Server as its center and the probes as the packet collection application for intercepting IPv6 traffic on Linux. The data collected from the probes are sent to the C&C server, which is processed and aggregated.",https://summerofcode.withgoogle.com/programs/2022/projects/2cIQ4Zvg
Create a Model class for easier deployment of PyMC models,5hv5hvnk,https://5hv5hvnk.github.io/blogs/NewModelBuilder,"Chris, Thomas Wiecki",NumFOCUS,python,"docker, python","As the project title describes the main goal is to create a model class that builds, saves, loads, predict and fit user created models. This can be achieved by saving the metadata of model with model configuration and the model data itself and save it in a particular file format. Secondary goal of the project is to work on updation of the docker container of PyMC and write tutorials for deployment of PyMC models (using above API calls) for most common deployment tools such as docker, sagemaker, ML-Flow airflow and dask.",https://summerofcode.withgoogle.com/programs/2022/projects/G39Ptmap
Implementing auto-vectorization hints for par_unseq and unseq versions of HPX parallel algorithms,A Kishore Kumar,https://github.com/akcube/hpx,"Srinivas Yadav, Nikunj Gupta",Ste||ar group,"c++, openmp, compilers","high performance computing, SIMD, Auto-Vectorization","C++ 17 and 20 released the par_unseq and unseq execution models which give guarantees to functions which specialize on them that data access functions can be interleaved even between iterations of one thread. This means that these functions are vectorization safe and can thus gain massive boosts in performance by compiler auto-vectorization. Compilers however are conservative and auto-vectorize loops only when they are sure that vectorized versions give the same result as their scalar counterparts and that vectorization will actually end up being profitable. GCC, Clang, MSVC, ICC all rely on different optimization passes in their backend and are all capable of auto-vectorizing certain loop patterns but not all. The goal of this project is to analyze compiler codegen response to different hints and implement a version of the par_unseq and unseq execution policies in HPX that makes use of these guarantees to provide compilers with as many hints as possible to encourage auto-vectorization.",https://summerofcode.withgoogle.com/programs/2022/projects/Xtj2bzL7
Build a Taxonomy Editor,Aadarsh Anantha Ramakrishnan,https://github.com/aadarsh-ram/GSoC2022-OpenFoodFacts/blob/main/README.md,"Charles Nepote, Stéphane Gigandet",Open Food Facts,"python, neo4j, reactjs, FastAPI",web development,"The Open Food Facts database contains a lot of information on food products, such as ingredients, labels, additives etc. To link this information to useful properties such as Nutri-Score, Agribalyse and many more, taxonomies are used within the database. A taxonomy in Open Food Facts is a raw text file containing a Directed Acyclic Graph (DAG) where each leaf node has one or more parent nodes. It is mainly used for classification and translation of various food products within the database. Hence, taxonomies are at the heart of data structures in the Open Food Facts database and must be maintained properly. This project provides an User-Friendly interface developed for editing taxonomies with ease. This tool is helpful for contributors to visualize a node's translations, properties, parents and children in a single page. The editor allows users to perform CRUD operations on the taxonomy and on the nodes present. A fast search mechanism for finding nodes within the taxonomy has also been implemented successfully. The introduction of Taxonomy Editor will be very beneficial, as it will help to visualize how products are classified and would encourage more contributions from the wonderful community of contributors of Open Food Facts.",https://summerofcode.withgoogle.com/programs/2022/projects/WvIpqgrR
Beacon Backend,Aadeesh Oswal,https://aadeesh.notion.site/,Aadi Bajpai,CCExtractor Development,"mongodb, nodejs, aws, express.js, Apollo-GraphQL","cloud, backend","This project aims to add multiple features and optimisations to Beacon App’s backend, which is built with Apollo-GraphQL, Node.js and Express.js, and MongoDB. The app provides its user to share their location in real time and hence eases traveling in groups. Building upon the current app, users should be able to create groups, have multiple beacons within a group, preschedule beacons, deactivate beacons, share routes, and have a seamless app experience. Moreover the backend should be optimized enough to handle location sharing of multiple beacons in real time. Also writing a script that automates the deployment of backend to cloud, if a user wants to have their own server and database.",https://summerofcode.withgoogle.com/programs/2022/projects/eyE28FAK
CNCF Cluster: Performance Benchmarking,Aaditya Narayan Subedy,https://github.com/asubedy/GSoC-2022,Lee Calcote,CNCF,"javascript, go, reactjs, Jekyll, GitHub Actions","web, devops, Dashboard, Charts","The Service Mesh Performance standard captures and characterizes infrastructure capacity, service mesh configuration, and workload metadata. When we run a performance test the service mesh performance capture these details as performance profiles and gives the complete analysis of the test run. I will be working on making a visual representation of these data that gives us a clear understanding of what the characteristics of the test are. It will provide us with a better understanding of the performance profile values sent by the CNCF infrastructure. To facilitate this I will be working on a benchmarking dashboard, where users will be able to analyze and compare the different performance test results. The project can be divided into two parts: 1. Working on the backend to fetch the SMP test results and query be able to query it on the frontend 2. Working on the frontend to discern these values, plot, analyze the data and give the user an ability to view these results and compare the effectiveness of the results.",https://summerofcode.withgoogle.com/programs/2022/projects/GRLPhiag
Write a flutter demo application demonstrating an Instrument Cluster.,Aakash Solanki,https://gist.github.com/aakash-s45/6d398f233ec7704dff6fa6ad90d7001f,"Walt Miner, Jan-Simon Möller",The Linux Foundation,"linux, flutter, dart, CAN Bus, Kuksa.val","linux, app development, AGL","Automotive Grade Linux is a platform which is bringing together automakers to accelerate the development and adoption of a fully open software stack for the connected car. Current system is built using Qt5 due to this system being slower and support for some features is lacking. In this project, we have to write these apps using Flutter which will make these apps faster and many new features can be implemented.",https://summerofcode.withgoogle.com/programs/2022/projects/LMQx2tHw
Awesome Demo Game Project : Alex and the Uncharted Expedition,Aakash Tyagi,https://github.com/aakash232/AwesomeDemoGameProject-GSOC-22,"Vesna Krnjic, KatjaU",International Catrobat Association,"Figma, Pocket code, Adobe Photoshop, Catrobat Visual Programming Language","game development, Visual Programming Language","AIM: To develop an awesome tutorial game in Catrobat visual programming language. Playable on smartphones and smart TV via casting. Project showcases the immense abilities of Pocket Code for designing games. Interactive story depiction with easy-to-play UI. THEME: Treasure hunting has always been among the most-talked themes. Be it for movies, games, novels. It’s evergreen! The theme and characters are inspired by Spelunky with added remixes and touch-ups for more excitement. The game displays the effective use of Pocket code in creating a wide-span story game. The ability to induce interactive puzzles and mind-boggling features with simple blocks of code.",https://summerofcode.withgoogle.com/programs/2022/projects/cFiVMFmu
Soft Bodies Simulation using Extended Position-Based Dynamics (XPBD),Aarnav Dhanuka,https://wiki.blender.org/wiki/User:AarnavDhanuka/GSoC2022/FinalReport,Sebastian Parborg,Blender Foundation,"c, c++",graphics,We are surrounded by deformable objects that can’t be accurately simulated in Blender yet. It is proposed in this project to build a new solver that would take as input a surface mesh and simulate the object as a soft body. The goal is to build a modular pipeline that will convert a surface mesh into a volumetric tetrahedral mesh using “Incremental Delaunay Method” that will be passed to the “Extended Position Based Dynamics (XPBD)” solver to simulate soft bodies.,https://summerofcode.withgoogle.com/programs/2022/projects/f4HjtVlV
Fast Accurate Symbolic Empirical Representation of Histograms,Aaron Mayer,https://github.com/ML4SCI/FASEROH,"ML4SCI, Abdulhakim Alnuqaydan",Machine Learning for Science (ML4SCI),"python, pytorch, sympy","machine learning, deep learning, symbolic mathematics",This proposal regards mapping histogram data to its underlying function; both of which can be represented as sequences and hence a transformer can and will be used to represent the mapping. This project involves both generating functions and histograms to use as a dataset and implementing and training a transformer to perform the mapping.,https://summerofcode.withgoogle.com/programs/2022/projects/f5Oq08iH
