organization_name,organization_url,category,num_projects,irc_channel,contact_email,technologies,topics,project_title,project_short_description,project_description,student_name,project_code_url,project_url
JdeRobot,http://jderobot.github.io,Other,7,,mailto:jderobot@gmail.com,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",Robotics Academy: CI & Testing,"The primary goal of this project is to establish an automated testing framework for the Robotics Academy (RA), Robotics Infrastructure (RI), and...","The primary goal of this project is to establish an automated testing framework for the Robotics Academy (RA), Robotics Infrastructure (RI), and Robotics Application Manager (RAM) repositories. This framework will include a suite of unit and integration tests to verify functional correctness and ensure that the software remains maintainable and robust.
Additionally, the project will focus on creating continuous integration (CI) pipelines, ensuring early detection of issues, and fostering a culture of quality and accountability across the projects.",Abdallah Ibrahim Ismail,https://theroboticsclub.github.io/gsoc2025-Abdallah_Ibrahim_Ismail/final-report,https://summerofcode.withgoogle.com/programs/2025/projects/msXOO4mb
JdeRobot,http://jderobot.github.io,Other,7,,mailto:jderobot@gmail.com,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",Robotics-Academy: Porting Exercises to Native ROS2 with Direct Topic Integration,"This project aims to enhance the Robotics-Academy platform by porting selected exercises to native ROS 2, removing the need for the Hardware...","This project aims to enhance the Robotics-Academy platform by porting selected exercises to native ROS 2, removing the need for the Hardware Abstraction Layer (HAL). The current implementation relies on a custom interface, limiting exposure to standard ROS 2 practices. By transitioning exercises like Follow Line and Basic Vacuum Cleaner to use native ROS 2 nodes, topics, publishers, and subscribers, users will gain hands-on experience with real-world ROS development patterns. The project will also ensure compatibility with ROS 2 tools like rqt_graph, ros2 topic echo, and rviz2 for debugging and visualization.

Deliverables include:
 - ROS 2-native versions of two exercises (Follow Line and Basic Vacuum Cleaner)
 - Removal of HAL dependencies
 - Integration with standard ROS 2 tools and practices
 - Documentation and examples to help users build, debug, and run their solutions 
    using native ROS 2
By the end of this project, Robotics-Academy will offer a more authentic ROS 2 learning experience, better preparing users for real-world robotics development.",Ashish Ramesh,https://theroboticsclub.github.io/gsoc2025-Ashish_Ramesh/posts/Final-Report/,https://summerofcode.withgoogle.com/programs/2025/projects/EXcpJT5g
JdeRobot,http://jderobot.github.io,Other,7,,mailto:jderobot@gmail.com,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",BT-Studio: a tool for programming robots with Behavior Trees,The primary objective of this project is to enhance BT Studio's capabilities by upgrading the library of behavior trees and composition tools....,"The primary objective of this project is to enhance BT Studio's capabilities by upgrading the library of behavior trees and composition tools. Currently, BT Studio BT library is simple, really overcomplicated and buggy which makes reusing behaviors trees from the library difficult. This update aims to simplify and improve this tools and to increase the amount of entries in the library. 

Also it will improve other features of BT Studio such as the custom universes, making them fully functional and with all the features of the already existing ones inside the Robotics Backend, the docker execution enviroment for robotics applications.

All of this changes would enable users to test applications across a wider range of scenarios, thereby enhancing debugging and solution robustness.",Javier Izquierdo,https://theroboticsclub.github.io/gsoc2025-Javier_Izquierdo/weekly%20log/Final/,https://summerofcode.withgoogle.com/programs/2025/projects/O1mpAQXE
JdeRobot,http://jderobot.github.io,Other,7,,mailto:jderobot@gmail.com,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",Robotics-Academy: Exercise on End-to-End Visual Control of an Autonomous Vehicle Using Deep Learning,"This project aims to develop a new deep learning exercise within Robotics-Academy, focusing on end-to-end visual control of autonomous vehicles. The...","This project aims to develop a new deep learning exercise within Robotics-Academy,
focusing on end-to-end visual control of autonomous vehicles. The exercise will allow
users to upload trained PyTorch/TensorFlow models that process camera input from a
simulated car or drone in Gazebo and output control vehicle movement based on the
model’s predictions. A web interface will enable model upload, real-time visualization,
and performance monitoring. The exercise will include a demo model trained on
synthetic data, a Gazebo simulation environment, and integration with ROS2. This
exercise will leverage existing infrastructure from previous deep learning-based
Robotics-Academy exercises, such as Human Detection and Digit Classifier.",Md. Shariar Kabir,https://theroboticsclub.github.io/gsoc2025-Md_Shariar_Kabir/blog/2025/gsoc-2025-recap/,https://summerofcode.withgoogle.com/programs/2025/projects/xJ2gOWNQ
JdeRobot,http://jderobot.github.io,Other,7,,mailto:jderobot@gmail.com,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",Robotics Academy: improvement of Gazebo scenarios and robot models,This project aims to significantly enhance two specific simulation scenarios within the JdeRobot Robotics Academy: Follow Line and Vacuum Cleaner....,"This project aims to significantly enhance two specific simulation scenarios within the JdeRobot Robotics Academy: Follow Line and Vacuum Cleaner. While these exercises serve as valuable educational tools for robotics learners, the current Gazebo environments and robot models lack visual realism, accurate physical behavior, and modular ROS2 integration. To address these limitations, the project will refactor the URDF model used in the Follow Line scenario using modular Xacro descriptions and realistic textures. The line track world will also be improved with high-quality road textures and better lighting for consistent perception results. In the Vacuum Cleaner scenario, the environment will be rebuilt using realistic room furniture and obstacles imported from Blender assets. Additionally, the Roomba robot model will be upgraded for improved physical dynamics, and its SLAM and navigation performance will be enhanced by tuning ROS2 Navigation2 parameters. Common improvements across both scenarios include updating the launch files to align with ROS2 Humble best practices, ensuring compatibility with the latest versions of Gazebo such as Fortress or Ignition, and producing clear documentation to support scenario creation and extension. The final deliverables will include the revamped simulation scenarios, reusable robot models, an organized and modular launch structure, and comprehensive user documentation. These improvements aim to boost the realism, engagement, and overall educational value of the Robotics Academy platform.",Nikhil_36,https://theroboticsclub.github.io/gsoc2025-Nikhil_Gupta/report/,https://summerofcode.withgoogle.com/programs/2025/projects/2pUk2XLx
JdeRobot,http://jderobot.github.io,Other,7,,mailto:jderobot@gmail.com,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools","Extend DetectionMetrics: GUI, CI Workflow, and Object Detection",DetectionMetrics is a toolkit designed to unify and streamline the evaluation of perception models across different frameworks and datasets. The...,"DetectionMetrics is a toolkit designed to unify and streamline the evaluation of perception models across different frameworks and datasets. The older version i.e DetectionMetrics v1  provides objective performance metrics such as mean average precision and mean inference time for object detection models. Now DetectionMetrics v2 was introduced in which the previous version was redesigned with an expanded focus on image and LiDAR segmentation. 

Currently, DetectionMetrics v2 functions as both a Python library and CLI, focusing on the quantitative evaluation of image and LiDAR segmentation models, with plans to expand into object detection. It supports PyTorch and TensorFlow models, along with multiple public datasets. Its modular design allows easy integration of new models and datasets. 
This project aims to bring back the key functionalities from v1 that were lost while redesigning, build a GUI and set up a CI workflow.",Sakhineti Praveena,https://theroboticsclub.github.io/gsoc2025-Sakhineti_Praveena/blog/2025/Final-report/,https://summerofcode.withgoogle.com/programs/2025/projects/lKrxCeUr
JdeRobot,http://jderobot.github.io,Other,7,,mailto:jderobot@gmail.com,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",Migration and Enhancement of 'Machine Vision' Exercise to ROS2 + MoveIt2 in Robotics Academy,This project aims to migrate the existing “Machine Vision” exercise from the old Robotics Academy version (ROS1 + MoveIt1) to the current ROS2 +...,"This project aims to migrate the existing “Machine Vision” exercise from the old Robotics Academy version (ROS1 + MoveIt1) to the current ROS2 + MoveIt2 Docker-based system. The updated version will include a modernized Python API for students, a GUI for visualizing vision images and controlling the manipulator, and improved documentation. The goal is to create a student-friendly, robust, and engaging learning experience aligned with contemporary ROS2 best practices.",Shu Xiao,https://github.com/TheRoboticsClub/gsoc2025-Shu_Xiao,https://summerofcode.withgoogle.com/programs/2025/projects/3Rh06QPO
GNOME Foundation,https://gnome.org,Operating systems,5,https://handbook.gnome.org/get-in-touch.html,,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps",Papers: Proof of Concept for Backend Isolation in GNOME Papers,"GNOME Papers (formerly Evince) currently processes all documents within a single application process, creating significant security and stability...","GNOME Papers (formerly Evince) currently processes all documents within a single application process, creating significant security and stability risks. A vulnerability or crash in one document can compromise the entire application. This project aims to create a proof-of-concept for backend isolation by implementing a multi-process architecture where each document runs in a separate process. The approach involves researching process isolation models (e.g., WebKit, Chromium), designing an IPC mechanism using D-Bus and shared memory, and implementing basic sandboxing for document processes. Key deliverables include a working prototype demonstrating isolation for at least one document format (e.g., PDF), performance and security analysis, and comprehensive documentation to guide future implementation. This project addresses long-standing limitations blocking features like tabbed interfaces while improving security and stability for GNOME Papers users.",Ahmed Fatthi,https://gitlab.gnome.org/GNOME/papers/-/merge_requests/598,https://summerofcode.withgoogle.com/programs/2025/projects/XuVwtTah
GNOME Foundation,https://gnome.org,Operating systems,5,https://handbook.gnome.org/get-in-touch.html,,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps","Vala: XML, JSON, and/or YAML Integration","The main objective is to integrate direct syntax support for parsing and emitting JSON, XML, and/or YAML formats in Vala. This will cut back the...","The main objective is to integrate direct syntax support for parsing and emitting JSON, XML, and/or YAML formats in Vala. This will cut back the boilerplate code making it more user-friendly and efficient for developers working with these format languages. 

To solve this, I first plan to research how other languages implement these integrations. This will allow me to see best practices and common syntax used. At the same time, I will research how Vala currently parses and emits JSON, XML, and YAML formats. Lastly, out of the research, I will know how to properly integrate the format languages into Vala's compiler, which will allow for direct syntax integration.

The overall deliverables consist of: 1) Research on how Vala and other programming languages handle JSON, XML, and YAML. 2) Syntax design and mock-ups. 3) Implementation and prototyping. 4) Testing, documentation, and code snippets",Alley Chaggar,https://alleych.github.io/gnome/final-report/,https://summerofcode.withgoogle.com/programs/2025/projects/UWolvgXi
GNOME Foundation,https://gnome.org,Operating systems,5,https://handbook.gnome.org/get-in-touch.html,,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps",Add Printing Support to GNOME Crosswords,"This project extends GNOME Crosswords' existing rendering facility to support printable puzzles with clues, and integrates printing support with...","This project extends GNOME Crosswords' existing rendering facility to support printable puzzles with clues, and integrates printing support with crossword-specific options. It also has stretch goals, including broader puzzle support and an `ipuz2pdf` export utility.",Toluwaleke Ogundipe,https://docs.google.com/document/d/1K5ffyZt50Uy9Ox2UiRM_j7w0DMPguVuwZRZrTuuM9sk/edit?usp=sharing,https://summerofcode.withgoogle.com/programs/2025/projects/Kj1CKvxo
